"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,4.03749344142285,0.990033646916486,3.87388223309468,4.20110464975101,0.0038142204284668,4,1,128
2,3.92493461400865,1.05279278073968,3.72208877286599,4.1277804551513,0.0100312232971191,4,1,128
3,3.95451528235306,0.946239110092465,3.79485811357677,4.11417245112935,0.000681638717651367,4,1,128
4,3.86182183952536,1.01131697087192,3.68753724198783,4.03610643706288,0.000586748123168945,4,1,128
5,3.98354587619945,0.950920899194702,3.8226605715752,4.1444311808237,0.000603199005126953,4,1,128
6,3.8871366902949,0.903896469289574,3.72830354256612,4.04596983802367,0.000577211380004883,4,1,128
7,3.81775883310772,1.11204117908421,3.59725715199197,4.03826051422347,0.000586509704589844,4,1,128
8,4.04893759872556,0.922373360442047,3.87727739822853,4.2205977992226,0.000581502914428711,4,1,128
9,3.97012055754036,0.966567710990435,3.80756433378638,4.13267678129434,0.000561952590942383,4,1,128
10,4.07927638173821,0.910110957475765,3.90663509956897,4.25191766390745,0.000578403472900391,4,1,128
11,3.97622102655813,1.05784472646307,3.79495706513279,4.15748498798347,0.000584840774536133,4,1,128
12,3.86150368110584,0.981274665010235,3.69233476066975,4.03067260154193,0.000578641891479492,4,1,128
13,3.81337557229571,1.10720772704589,3.62084410563593,4.0059070389555,0.000575542449951172,4,1,128
14,4.03590428546118,1.09109568728578,3.83988373445229,4.23192483647007,0.000564813613891602,4,1,128
15,3.92793757538794,1.04949864120043,3.71449485023119,4.14138030054469,0.000564336776733398,4,1,128
16,3.73141368457683,0.915889112157458,3.57583606601562,3.88699130313804,0.000554084777832031,4,1,128
17,3.94159056738116,0.948373589328064,3.79040725989942,4.0927738748629,0.000573158264160156,4,1,128
18,4.01419237849779,1.08625820914813,3.84520258679532,4.18318217020026,0.000577211380004883,4,1,128
19,3.91581972344764,0.962945793527029,3.72974080400451,4.10189864289076,0.000566959381103516,4,1,128
20,3.93326947036875,1.04109443199894,3.76727026043694,4.09926868030055,0.000573873519897461,4,1,128
21,3.90649715105345,0.950394107317003,3.74318637334205,4.06980792876485,0.000559091567993164,4,1,128
22,3.96670531248149,0.989865544903997,3.79574552470176,4.13766510026122,0.000592231750488281,4,1,128
23,4.11239007085382,1.02243848100807,3.92614391788304,4.2986362238246,0.000583887100219727,4,1,128
24,4.10722664618213,0.993475552232277,3.91982952365923,4.29462376870503,0.000574588775634766,4,1,128
25,3.96370539454483,0.948734709356844,3.80867748787902,4.11873330121065,0.000585079193115234,4,1,128
26,3.8006694371289,0.907915925875754,3.62630071190122,3.97503816235659,0.000562429428100586,4,1,128
