"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,2.11063355418994,1.82743690356246,1.79857684155198,2.42269026682789,0.0037994384765625,2,2,128
2,2.14815936632435,2.13915641794293,1.75757397320011,2.53874475944859,0.0104706287384033,2,2,128
3,1.7034063493516,1.77774011842384,1.33037015468726,2.07644254401594,0.00068354606628418,2,2,128
4,2.197712584632,1.9222100798327,1.89185559859402,2.50356957066998,0.000588893890380859,2,2,128
5,2.1241264447657,1.88321171913689,1.795483943354,2.4527689461774,0.000599384307861328,2,2,128
6,1.81586424057442,1.91628858038713,1.49591354106225,2.13581494008659,0.00059056282043457,2,2,128
7,1.73186754505086,1.96652351233963,1.32654404534016,2.13719104476156,0.000571966171264648,2,2,128
8,1.68831509762908,1.87848241291601,1.3506742606128,2.02595593464537,0.00057530403137207,2,2,128
9,1.99677395021699,1.95726774106922,1.65720646837847,2.33634143205551,0.000576496124267578,2,2,128
10,2.21623862106162,1.76478970771308,1.92869608867578,2.50378115344746,0.000583648681640625,2,2,128
11,1.98778763197714,1.94794411412695,1.66056330177929,2.31501196217499,0.000567197799682617,2,2,128
12,2.12452607500406,1.98275889574584,1.7941450105704,2.45490713943771,0.000578880310058594,2,2,128
13,2.06475089534207,1.98122036723013,1.69569289070309,2.43380889998104,0.000573396682739258,2,2,128
14,2.01601035224478,1.93540541506891,1.65882125948879,2.37319944500077,0.000578880310058594,2,2,128
15,1.98457297577646,2.18319306908768,1.57196567104755,2.39718028050536,0.000582218170166016,2,2,128
16,2.14441856273854,1.93615190580983,1.84086577323354,2.44797135224353,0.000574827194213867,2,2,128
17,1.76682680108993,1.99819874423265,1.41399029579872,2.11966330638114,0.000574111938476562,2,2,128
18,2.12315689467187,2.10419753869998,1.73347253399185,2.51284125535189,0.000566005706787109,2,2,128
19,2.14968720149384,1.98678388790191,1.80677532991651,2.49259907307116,0.000559091567993164,2,2,128
20,2.26143593228766,2.10108562557013,1.88350443267146,2.63936743190386,0.000576019287109375,2,2,128
21,1.94133501482078,2.07999290688811,1.59204028983402,2.29062973980755,0.000589132308959961,2,2,128
22,2.13179559223224,1.99455067399335,1.79288252935443,2.47070865511006,0.000591754913330078,2,2,128
23,2.29315287962581,1.96190521298176,1.9502449693714,2.63606078988023,0.000588655471801758,2,2,128
24,2.04360956681749,1.99901837684601,1.71322024312325,2.37399889051174,0.000570297241210938,2,2,128
25,1.80935863068128,1.90819203395065,1.48944370809557,2.12927355326699,0.000589847564697266,2,2,128
26,2.34656595251852,1.95302637519303,2.01313935181996,2.67999255321707,0.000573873519897461,2,2,128
27,2.18651591559156,1.84070364818519,1.85678600781194,2.51624582337119,0.000573396682739258,2,2,128
28,1.9858530789595,2.05435304838067,1.63823293874066,2.33347321917833,0.000574827194213867,2,2,128
29,1.89717447266028,2.00136655964866,1.50451044692685,2.2898384983937,0.000554323196411133,2,2,128
30,1.90834310951974,2.101974571858,1.52939524357104,2.28729097546845,0.000570058822631836,2,2,128
31,2.12121860614653,2.03031008820758,1.76168766008819,2.48074955220487,0.000552892684936523,2,2,128
32,2.09513658018965,1.8845615471393,1.76172227977613,2.42855088060317,0.000571489334106445,2,2,128
33,2.07888402650105,1.91099637820284,1.76270943799577,2.39505861500632,0.000566482543945312,2,2,128
34,1.95996824639612,1.99872864863783,1.62492859183169,2.29500790096056,0.000556468963623047,2,2,128
35,1.9429904266209,2.13424814654321,1.50974277786105,2.37623807538075,0.000569581985473633,2,2,128
36,2.06330769684548,1.86851278686294,1.76576255627132,2.36085283741965,0.000554561614990234,2,2,128
37,1.80733339850958,1.90045102785308,1.50403684572292,2.11062995129624,0.000558853149414062,2,2,128
38,1.8770692213676,1.78231703536857,1.58587530937879,2.16826313335641,0.000546455383300781,2,2,128
39,2.37183377744262,2.05824223290812,2.03053828095429,2.71312927393096,0.000547170639038086,2,2,128
40,1.88058485808612,1.86835232361658,1.58010809735702,2.18106161881523,0.00171756744384766,2,2,128
41,1.74642734032453,1.94952953205336,1.3805649900107,2.11228969063835,0.000634670257568359,2,2,128
42,1.94878544495431,2.10926200618834,1.56408241587688,2.33348847403174,0.000618457794189453,2,2,128
43,1.94609264396348,2.02284658903015,1.57049870873408,2.32168657919288,0.0005950927734375,2,2,128
44,1.77918707323871,2.16715017283092,1.45208104816697,2.10629309831044,0.00059962272644043,2,2,128
45,2.08928709449162,2.11719770339535,1.69805979251293,2.4805143964703,0.000599384307861328,2,2,128
46,1.89204577844966,2.17859788634272,1.5098601551962,2.27423140170313,0.000564098358154297,2,2,128
47,2.12877338861491,1.84514572775169,1.73439065059121,2.5231561266386,0.000553131103515625,2,2,128
48,2.08926877067878,1.84020926925205,1.70667981821557,2.471857723142,0.000565767288208008,2,2,128
49,2.04137375980727,2.13238558591779,1.66805445865496,2.41469306095958,0.000568389892578125,2,2,128
50,1.99476496860771,1.95136033667467,1.66133840661223,2.32819153060319,0.0005645751953125,2,2,128
51,2.11551867435622,2.20581585234877,1.74870763042634,2.4823297182861,0.000564336776733398,2,2,128
52,1.92793517666851,2.1975417423457,1.54713048560214,2.30873986773489,0.000575542449951172,2,2,128
53,2.19893138847252,2.00905929009963,1.82759885464267,2.57026392230236,0.000571250915527344,2,2,128
54,2.1098482147098,2.21530791856556,1.71666312083172,2.50303330858788,0.000562667846679688,2,2,128
55,1.96581223850856,2.03939026254592,1.61484682583425,2.31677765118288,0.000580072402954102,2,2,128
56,1.8815907564894,2.13462426595611,1.50022438036752,2.26295713261127,0.000579833984375,2,2,128
57,1.93271420296403,2.01878038041546,1.56866750619033,2.29676089973772,0.000576972961425781,2,2,128
58,2.05216893181667,2.21732843799383,1.69406866967023,2.41026919396312,0.000572681427001953,2,2,128
59,1.7511185634722,2.03478582934749,1.38804264281436,2.11419448413004,0.000573635101318359,2,2,128
60,2.03949615814104,2.06919970600912,1.67490472751425,2.40408758876784,0.000573635101318359,2,2,128
61,2.1486194922175,2.05571764442656,1.82436143977006,2.47287754466493,0.000576019287109375,2,2,128
62,2.2161722920986,2.05607539293258,1.87261037800662,2.55973420619058,0.000589609146118164,2,2,128
63,2.13309237761442,1.86941372986355,1.78742024955394,2.4787645056749,0.000577688217163086,2,2,128
64,2.03912998418751,2.05324310376836,1.69862029098933,2.37963967738569,0.000574350357055664,2,2,128
65,2.20951259479029,2.01361492392183,1.85143123656235,2.56759395301822,0.000579357147216797,2,2,128
66,2.3227775219579,2.02054466754987,1.96025247886951,2.68530256504629,0.000578165054321289,2,2,128
67,2.04367263253652,2.14711347559415,1.68323564595833,2.40410961911471,0.000595569610595703,2,2,128
68,1.57664856547266,2.1775618435385,1.18088579279225,1.97241133815307,0.000579833984375,2,2,128
69,2.17378628680046,1.95486428445669,1.86471676467856,2.48285580892235,0.000574111938476562,2,2,128
70,1.69973856794723,2.19931274296843,1.32487968186105,2.07459745403341,0.000581979751586914,2,2,128
71,1.87778213802495,2.18935291415898,1.47890339075661,2.2766608852933,0.000569343566894531,2,2,128
72,1.95628572386238,2.03521183034007,1.61047153124589,2.30209991647887,0.000580072402954102,2,2,128
73,1.99866399579623,2.04794751778914,1.62887226845255,2.36845572313992,0.000574827194213867,2,2,128
74,2.12108193946819,1.85470394629338,1.80155435544814,2.44060952348824,0.000564336776733398,2,2,128
75,2.00775131131819,1.88777331038121,1.65308399363261,2.36241862900378,0.000572681427001953,2,2,128
76,2.01867020300274,2.0010710984558,1.6841290354173,2.35321137058817,0.000563144683837891,2,2,128
77,2.19136161851402,2.00245042002053,1.79222803339628,2.59049520363176,0.000573873519897461,2,2,128
78,1.8633870967488,2.07292013237534,1.50594003653807,2.22083415695954,0.00180244445800781,2,2,128
79,2.31775556772378,1.68247589177369,1.99278116573204,2.64272996971552,0.000600337982177734,2,2,128
