"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,0.982919197703322,0.46008418749923,0.900175854264777,1.06566254114187,0.00395393371582031,1,0.5,128
2,1.02756917598982,0.509336645303926,0.93921854903177,1.11591980294786,0.011218786239624,1,0.5,128
3,0.93598376277463,0.49317220693163,0.854854710612971,1.01711281493629,0.000763893127441406,1,0.5,128
4,0.996174631384025,0.495454035900009,0.909727389062675,1.08262187370537,0.000656604766845703,1,0.5,128
5,0.955140198132597,0.497993986716881,0.859024947668514,1.05125544859668,0.00063776969909668,1,0.5,128
6,1.01958916840374,0.51878326352366,0.93120306782897,1.1079752689785,0.000616312026977539,1,0.5,128
7,0.928603590000457,0.482626375863888,0.844836343616848,1.01237083638407,0.00062870979309082,1,0.5,128
8,0.968806169679821,0.484026874002547,0.878158936868974,1.05945340249067,0.00058293342590332,1,0.5,128
9,0.945203710759281,0.505051653061111,0.852488542859789,1.03791887865877,0.000562191009521484,1,0.5,128
10,0.976548335233272,0.467246832875065,0.897124821091288,1.05597184937526,0.000585794448852539,1,0.5,128
11,0.958376792597989,0.499224308350193,0.874014664472745,1.04273892072323,0.000568866729736328,1,0.5,128
12,0.938196737033221,0.46222172086654,0.853280177000627,1.02311329706582,0.000566959381103516,1,0.5,128
13,1.03669659082649,0.499477944319063,0.950400014741555,1.12299316691142,0.00059199333190918,1,0.5,128
14,1.01744432119355,0.554765365736928,0.919979407645533,1.11490923474156,0.000605106353759766,1,0.5,128
15,0.969673353982217,0.508876887434503,0.889860385942997,1.04948632202144,0.000583648681640625,1,0.5,128
16,0.938220048131013,0.440566242258415,0.8506868576315,1.02575323863053,0.000583648681640625,1,0.5,128
17,0.925964164958668,0.564723678875724,0.833582566159977,1.01834576375736,0.000582456588745117,1,0.5,128
18,1.03607358732568,0.46189136220009,0.956798226050568,1.11534894860079,0.000587701797485352,1,0.5,128
19,1.03830409577228,0.507577843126194,0.952166879664157,1.1244413118804,0.000611305236816406,1,0.5,128
20,0.979639355010447,0.441995189920517,0.901847428049001,1.05743128197189,0.000641584396362305,1,0.5,128
21,0.959176848189377,0.575472699088678,0.858511476487622,1.05984221989113,0.000591278076171875,1,0.5,128
22,0.95432780404924,0.470037590351471,0.874905048373209,1.03375055972527,0.000586748123168945,1,0.5,128
23,1.00552604163625,0.404473231682216,0.93294255738362,1.07810952588889,0.000601053237915039,1,0.5,128
24,1.04423457960263,0.515565513278705,0.955240318373043,1.13322884083223,0.000579357147216797,1,0.5,128
25,0.945991512177907,0.472776119182275,0.861463869471097,1.03051915488472,0.000594615936279297,1,0.5,128
26,1.03151509788155,0.470664406753953,0.953251158486386,1.10977903727672,0.000592231750488281,1,0.5,128
27,1.0370964309113,0.543454852449425,0.940544969767723,1.13364789205487,0.000601053237915039,1,0.5,128
28,1.05620700081257,0.48344021819484,0.969244455593142,1.14316954603201,0.000584840774536133,1,0.5,128
29,1.01665411351431,0.479854101414882,0.932717773611157,1.10059045341747,0.000580787658691406,1,0.5,128
30,1.01014687780003,0.533279885768239,0.916359058742451,1.10393469685762,0.000586986541748047,1,0.5,128
31,1.10321776444225,0.480200359962873,1.01628933022736,1.19014619865713,0.000576972961425781,1,0.5,128
32,1.00278820926998,0.532754541033532,0.899814641907823,1.10576177663215,0.000594615936279297,1,0.5,128
33,1.07783078270867,0.51717805287033,0.979983835690717,1.17567772972663,0.0006103515625,1,0.5,128
34,0.985951101154776,0.481028271278481,0.89101555350239,1.08088664880716,0.000574111938476562,1,0.5,128
35,1.0520752694364,0.526632244008216,0.958662653300791,1.145487885572,0.000579833984375,1,0.5,128
36,1.00759830698808,0.524736946516943,0.918956853998848,1.09623975997731,0.000571250915527344,1,0.5,128
37,0.994932308880375,0.482902246592563,0.905476019538185,1.08438859822257,0.000564098358154297,1,0.5,128
38,1.01945147313304,0.503398006215851,0.929063321132001,1.10983962513408,0.000560760498046875,1,0.5,128
39,0.967631067213624,0.465133162672134,0.891774649412354,1.04348748501489,0.000546932220458984,1,0.5,128
40,0.983685028234365,0.487320484365706,0.904733671643242,1.06263638482549,0.00199723243713379,1,0.5,128
41,1.04681123543812,0.509282613335903,0.957489997075534,1.1361324738007,0.000655889511108398,1,0.5,128
42,0.966494639064092,0.455239236430658,0.888566451262493,1.04442282686569,0.000623703002929688,1,0.5,128
43,1.0584397008416,0.460156830430844,0.976981769027593,1.13989763265561,0.000586986541748047,1,0.5,128
44,1.0576208789704,0.478880761415432,0.981602064466047,1.13363969347476,0.000614643096923828,1,0.5,128
45,0.996335453987664,0.537074008460031,0.895108625953108,1.09756228202222,0.000605344772338867,1,0.5,128
46,1.00219949913947,0.515963353064026,0.900646387053715,1.10375261122523,0.000564813613891602,1,0.5,128
47,0.98675086547457,0.525250040244869,0.909783267317656,1.06371846363148,0.000571012496948242,1,0.5,128
48,1.08587810220844,0.510746175595338,1.00109712542689,1.17065907898998,0.000563859939575195,1,0.5,128
49,1.05007684289217,0.520572326452717,0.97096866226315,1.1291850235212,0.000579833984375,1,0.5,128
50,1.04036339682987,0.487962627432815,0.950381631027241,1.13034516263251,0.000579595565795898,1,0.5,128
51,1.09445642743475,0.47270466669589,1.0152701591759,1.17364269569361,0.000570535659790039,1,0.5,128
52,0.975081816476403,0.461077689337658,0.895146564365911,1.05501706858689,0.000599145889282227,1,0.5,128
53,0.940050517808753,0.46487988073601,0.858761486499193,1.02133954911831,0.000566720962524414,1,0.5,128
54,1.05167125071902,0.493152365657092,0.970689901136032,1.13265260030201,0.000572443008422852,1,0.5,128
55,1.03013447008736,0.504844491108566,0.944593788337601,1.11567515183713,0.000577449798583984,1,0.5,128
56,1.01135766191776,0.470198886760357,0.9299514002905,1.09276392354501,0.00056910514831543,1,0.5,128
57,1.02588135828338,0.445557001320437,0.945605547018077,1.10615716954868,0.000591278076171875,1,0.5,128
58,0.996360629963282,0.472013170248096,0.917120914033269,1.0756003458933,0.000568866729736328,1,0.5,128
59,0.968639632335069,0.495292072314189,0.886082055883365,1.05119720878677,0.000582456588745117,1,0.5,128
60,1.0028339056977,0.48237054866794,0.924857098961843,1.08081071243355,0.000579357147216797,1,0.5,128
61,0.970588704944789,0.518842622114473,0.873052947148021,1.06812446274156,0.000570774078369141,1,0.5,128
62,1.01325647063264,0.465699322815658,0.929568343788554,1.09694459747673,0.00057530403137207,1,0.5,128
63,1.05315490517846,0.516748825789308,0.959271178723066,1.14703863163386,0.000568866729736328,1,0.5,128
64,0.982041017984482,0.518667229532131,0.883629404456915,1.08045263151205,0.000599384307861328,1,0.5,128
65,1.05315029668174,0.533064493456011,0.962530549538192,1.14377004382529,0.000589132308959961,1,0.5,128
66,0.913889704799631,0.554992677873535,0.811040187517711,1.01673922208155,0.00056767463684082,1,0.5,128
67,0.906918815517552,0.47156097005672,0.821466499524414,0.99237113151069,0.000586032867431641,1,0.5,128
68,0.992961111927892,0.501358495854514,0.905273809446619,1.08064841440917,0.000563859939575195,1,0.5,128
69,1.05259118894191,0.522554669433359,0.974605437258333,1.13057694062549,0.000578880310058594,1,0.5,128
70,1.04513459409063,0.495119565816939,0.951007982883751,1.13926120529751,0.000594615936279297,1,0.5,128
71,0.934367222281557,0.498028275449954,0.846112803399363,1.02262164116375,0.000584125518798828,1,0.5,128
72,0.980732055133545,0.531212908151375,0.885988766767971,1.07547534349912,0.000576972961425781,1,0.5,128
73,1.00167019824895,0.516396124807821,0.915807512546033,1.08753288395187,0.000569581985473633,1,0.5,128
74,0.979515709393158,0.559706622171492,0.880988680900723,1.07804273788559,0.000568866729736328,1,0.5,128
75,1.03121877726685,0.483852194226805,0.942921994170742,1.11951556036295,0.000562191009521484,1,0.5,128
76,1.08180281555482,0.483084999718863,0.990682553948611,1.17292307716103,0.000569820404052734,1,0.5,128
77,0.990525655660313,0.562496088336054,0.899371470828312,1.08167984049231,0.000617265701293945,1,0.5,128
78,1.02022252223572,0.442820925836836,0.946770975297283,1.09367406917415,0.00193500518798828,1,0.5,128
