"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,4.02292391734297,1.05714461649279,3.89335503933101,4.15249279535493,0.00379729270935059,4,1,256
2,3.94356694237417,1.0201352201534,3.81385665670404,4.0732772280443,0.010953426361084,4,1,256
3,3.98889823285535,0.938987916496117,3.87059608135469,4.10720038435601,0.000803470611572266,4,1,256
4,3.97663774415354,0.973310090649525,3.85905384324348,4.09422164506359,0.000683069229125977,4,1,256
5,4.03338707593965,0.991599493660157,3.90293985057309,4.16383430130621,0.000655412673950195,4,1,256
6,3.88533065080306,1.01758998542667,3.76249836777472,4.00816293383141,0.000629901885986328,4,1,256
7,3.94540085746937,0.99124679052231,3.82630328692078,4.06449842801796,0.000626325607299805,4,1,256
8,3.93455308161299,0.996742803645397,3.8212305754224,4.04787558780358,0.000603199005126953,4,1,256
9,4.05077683936012,1.11007920635217,3.91189517689253,4.1896585018277,0.00060272216796875,4,1,256
10,4.08203841374835,1.00153589649604,3.95888814797512,4.20518867952157,0.000608205795288086,4,1,256
11,3.96051442699347,1.0135550988889,3.84065801809671,4.08037083589024,0.000591278076171875,4,1,256
12,4.09185398601589,1.03954862631194,3.96789781176149,4.2158101602703,0.000596761703491211,4,1,256
13,3.97791494494685,0.986149530118121,3.86059333378704,4.09523655610666,0.000602006912231445,4,1,256
14,4.1553632137419,1.00924052382301,4.02207161114554,4.28865481633826,0.000598907470703125,4,1,256
15,4.15661009618832,1.07361289141373,4.01970045472365,4.29351973765298,0.000609636306762695,4,1,256
16,3.91958801941983,1.00387654403189,3.78783678949192,4.05133924934774,0.000602006912231445,4,1,256
17,3.86142040921509,0.980532938350586,3.7361113208207,3.98672949760948,0.000609874725341797,4,1,256
18,3.93447139431192,0.892551156811308,3.82088138754096,4.04806140108288,0.00059962272644043,4,1,256
19,3.99512899391928,1.07096720617331,3.8584947068769,4.13176328096167,0.000598430633544922,4,1,256
20,4.03928415115809,0.985757556530092,3.90879760114763,4.16977070116855,0.000611066818237305,4,1,256
21,4.01420707734295,1.00114709431511,3.89267781986104,4.13573633482487,0.000616550445556641,4,1,256
22,4.00885233970262,1.00869565633994,3.88121414977562,4.13649052962962,0.000600337982177734,4,1,256
23,3.99810187252211,1.03218391328064,3.87250500665135,4.12369873839288,0.000606060028076172,4,1,256
