"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,3.99847887903742,2.05468551185619,3.81576104361977,4.18119671445508,0.00413775444030762,4,2,512
2,4.05621996919976,2.06706303811917,3.88017622725089,4.23226371114862,0.00967574119567871,4,2,512
3,4.0325516260154,2.03418288894105,3.85902284649323,4.20608040553757,0.000760793685913086,4,2,512
4,3.92047779622521,1.93842983586819,3.75480300013072,4.08615259231969,0.000695228576660156,4,2,512
5,4.02813831395742,1.97550786349357,3.85665257862383,4.19962404929101,0.000678539276123047,4,2,512
6,3.90639042078943,2.01581265960519,3.73217278911903,4.08060805245983,0.000685214996337891,4,2,512
7,4.10147707192213,2.09917756722164,3.91806923417781,4.28488490966645,0.000657558441162109,4,2,512
8,3.96748828275444,1.90781131314834,3.80887014581366,4.12610641969522,0.000657081604003906,4,2,512
9,4.07080284778592,1.91904356045299,3.89616925832517,4.24543643724667,0.00064539909362793,4,2,512
10,3.91426990126784,1.9872559155586,3.74234429724922,4.08619550528647,0.000639677047729492,4,2,512
11,4.10349473000304,1.88933438025588,3.93713909057673,4.26985036942934,0.000649929046630859,4,2,512
12,3.99425529062557,2.07731625199685,3.81760072005497,4.17090986119618,0.000655889511108398,4,2,512
13,3.90666378705541,2.055202991767,3.72370349517186,4.08962407893896,0.000643014907836914,4,2,512
14,3.91174986809244,2.07537164118606,3.73564476485371,4.08785497133116,0.000647306442260742,4,2,512
15,4.08899033822277,2.08029890662512,3.90951193308779,4.26846874335774,0.000640392303466797,4,2,512
16,4.0122800305605,1.91383457591585,3.83919088432279,4.1853691767982,0.000626564025878906,4,2,512
17,3.93475359710499,2.03620612292533,3.75526995013826,4.11423724407171,0.000631570816040039,4,2,512
18,3.88705447568856,2.06739004565218,3.70111529118578,4.07299366019135,0.000627756118774414,4,2,512
19,4.04335993610553,2.07411170494218,3.86008587824807,4.22663399396299,0.000620365142822266,4,2,512
20,4.03259649963664,2.02876117812453,3.85513924228136,4.21005375699193,0.000637292861938477,4,2,512
21,4.0334976617478,1.9993282472776,3.86522324622105,4.20177207727455,0.000626564025878906,4,2,512
22,3.99713708978546,1.90554728535577,3.83297713129419,4.16129704827673,0.000637054443359375,4,2,512
23,4.03009810998068,1.93777241302674,3.86518569716484,4.19501052279653,0.000638246536254883,4,2,512
24,4.12748236770925,2.01143633670896,3.95360339269034,4.30136134272817,0.000627040863037109,4,2,512
25,4.01593394389328,2.032031508508,3.83316569243596,4.1987021953506,0.000641822814941406,4,2,512
26,3.9364064803747,1.86461184905586,3.76868843003279,4.10412453071662,0.000630617141723633,4,2,512
27,4.00301722494331,1.98564937465049,3.83582787168768,4.17020657819894,0.000611782073974609,4,2,512
28,4.01420312542161,2.00810686003262,3.8447500642673,4.18365618657593,0.000619649887084961,4,2,512
29,4.16094104844579,1.90606109880717,3.98918723388758,4.332694863004,0.000643014907836914,4,2,512
30,3.94204223523122,1.96443970443707,3.77090464274866,4.11317982771378,0.000615596771240234,4,2,512
31,4.04859351464731,2.08317999861695,3.87377409582671,4.22341293346791,0.00060725212097168,4,2,512
32,4.0022354415084,2.05796408198031,3.82143631815699,4.1830345648598,0.00060582160949707,4,2,512
33,4.05455617903189,2.01439065755814,3.88235184986929,4.22676050819448,0.000592231750488281,4,2,512
34,3.94037168711386,2.02977224971465,3.77511827122059,4.10562510300714,0.000593662261962891,4,2,512
35,3.89899233713107,1.9880890680345,3.71333399694506,4.08465067731709,0.000584125518798828,4,2,512
36,3.94786585995971,1.98635118256146,3.77621022574276,4.11952149417665,0.000604629516601562,4,2,512
37,3.97360371513027,2.06178775785521,3.8055281056814,4.14167932457915,0.000608921051025391,4,2,512
38,3.97590626499419,2.03843787699387,3.79735217982168,4.1544603501667,0.000602483749389648,4,2,512
39,3.89859144892807,2.03991075882241,3.73129600748228,4.06588689037387,0.000609636306762695,4,2,512
40,3.88513196647402,1.94973299196603,3.72275310993734,4.0475108230107,0.00145864486694336,4,2,512
41,3.91990620711625,2.09471808084336,3.73930417669605,4.10050823753645,0.000680685043334961,4,2,512
42,3.9705908244179,1.94056815775391,3.79626171562045,4.14491993321534,0.000652790069580078,4,2,512
43,3.97533015238826,2.0930225051454,3.79182924911229,4.15883105566424,0.000629901885986328,4,2,512
44,3.99621934307743,2.01082435581991,3.82857180391199,4.16386688224287,0.000635623931884766,4,2,512
45,4.06789484542591,2.08366580409044,3.88338994827927,4.25239974257256,0.000629186630249023,4,2,512
46,3.89993449832466,2.01221678854999,3.7204997949711,4.07936920167821,0.000612974166870117,4,2,512
47,4.04977994103099,2.0776894520061,3.86479055958074,4.23476932248123,0.00061798095703125,4,2,512
48,4.09169591786066,1.97103717666398,3.91834695573921,4.26504487998212,0.000627756118774414,4,2,512
49,3.93195324199565,2.14122025289647,3.74636365095867,4.11754283303263,0.000616550445556641,4,2,512
50,4.14094138496398,1.88766698633762,3.98087170379213,4.30101106613583,0.000620365142822266,4,2,512
51,4.07417248768808,2.00530217984985,3.89737363413604,4.25097134124012,0.000632762908935547,4,2,512
52,3.97757884086423,1.92737009549658,3.81382536489714,4.14133231683131,0.000635147094726562,4,2,512
53,4.08457481625656,1.92909971095852,3.92720047452716,4.24194915798595,0.000620365142822266,4,2,512
54,4.07239548521149,1.90485333805954,3.91249769584159,4.23229327458138,0.000609874725341797,4,2,512
55,3.83111070634253,2.07936773354144,3.65161173997538,4.01060967270968,0.000630378723144531,4,2,512
56,4.04302799102874,1.92503762133038,3.88697681753279,4.19907916452469,0.000627279281616211,4,2,512
57,3.97562033853076,2.07759273658484,3.79412583538618,4.15711484167533,0.00062251091003418,4,2,512
58,3.80067454352114,1.98378418396948,3.63061550880858,3.9707335782337,0.000616788864135742,4,2,512
59,4.00474306478569,1.92973982230414,3.84234667803316,4.16713945153822,0.000616312026977539,4,2,512
60,4.06821048362688,1.99837337372107,3.89932845180213,4.23709251545163,0.00061488151550293,4,2,512
61,3.9860141226237,2.01549719207556,3.80848266747021,4.1635455777772,0.000620603561401367,4,2,512
62,3.96455402948725,2.11890324400524,3.77441235352858,4.15469570544592,0.000614166259765625,4,2,512
63,3.96964392944288,1.95725198392423,3.8026391750844,4.13664868380137,0.000620365142822266,4,2,512
64,3.90764613811488,2.04126083280319,3.73168855579491,4.08360372043485,0.00062108039855957,4,2,512
65,4.09725437617246,1.99689776904903,3.92387466963506,4.27063408270987,0.000619173049926758,4,2,512
66,3.9131612277724,2.00769092203597,3.73451805087485,4.09180440466995,0.000603675842285156,4,2,512
67,4.09753198418847,2.09692972027777,3.91118356695754,4.2838804014194,0.000611305236816406,4,2,512
68,3.98745926658862,1.98579890311122,3.80203545873074,4.1728830744465,0.000598907470703125,4,2,512
69,4.11199616404457,1.96169638469832,3.93428420609863,4.2897081219905,0.000610828399658203,4,2,512
70,3.93880782262012,2.00161569365154,3.77077103741257,4.10684460782767,0.000615119934082031,4,2,512
71,4.02615737849728,2.01331558305091,3.85332555330193,4.19898920369264,0.000613927841186523,4,2,512
72,4.03961714676525,2.06482345606136,3.87160524772558,4.20762904580492,0.00060272216796875,4,2,512
73,4.08096906105389,2.0670825199179,3.89845131184767,4.26348681026011,0.0005950927734375,4,2,512
74,4.01158785878629,1.93284997870761,3.84748477510064,4.17569094247195,0.000584840774536133,4,2,512
75,4.00012844018004,1.90045730672252,3.83152579910503,4.16873108125505,0.000594854354858398,4,2,512
76,3.98469658212944,2.08378063756219,3.81510522283009,4.15428794142878,0.000597476959228516,4,2,512
77,4.04481779672081,2.02850879349582,3.87491572104997,4.21471987239164,0.000607967376708984,4,2,512
78,4.03583482560337,2.00398425545483,3.86771726695027,4.20395238425647,0.00143074989318848,4,2,512
79,4.01458774715582,1.95750618827851,3.85397227438032,4.17520321993132,0.000656366348266602,4,2,512
80,3.85349779578768,1.97301334383667,3.6853152678579,4.02168032371746,0.000657796859741211,4,2,512
81,3.90312052110182,2.04136448923378,3.73457876753381,4.07166227466984,0.000616550445556641,4,2,512
82,4.07935070868834,1.88686375577497,3.9158364935303,4.24286492384638,0.000630617141723633,4,2,512
83,3.96332699404881,1.98689805696991,3.78541486876561,4.14123911933202,0.000631570816040039,4,2,512
84,4.01197312813491,2.05873396600372,3.83238877419663,4.1915574820732,0.000603437423706055,4,2,512
85,4.05754025178408,2.02305586714304,3.8857777290943,4.22930277447385,0.000611543655395508,4,2,512
86,4.05907130785713,1.92604881507504,3.89766701974172,4.22047559597255,0.000603914260864258,4,2,512
87,4.05185627396603,2.01341936864235,3.8775030434238,4.22620950450827,0.000606775283813477,4,2,512
88,4.04334513749586,2.02672910294009,3.86415408211973,4.222536192872,0.000602960586547852,4,2,512
89,3.99907392619424,1.9278886160271,3.82260018031434,4.17554767207413,0.00061488151550293,4,2,512
90,3.98017478019384,2.04035043904534,3.80645291216123,4.15389664822646,0.000600337982177734,4,2,512
91,3.9265791904647,2.09445434192639,3.74801095071002,4.10514743021938,0.000597476959228516,4,2,512
92,4.08019598726665,2.11074891106863,3.88650988598476,4.27388208854855,0.00060582160949707,4,2,512
93,3.96023675043165,1.97362901934981,3.79698691878796,4.12348658207535,0.000623464584350586,4,2,512
94,3.99221263736131,2.05454939010812,3.81997725133093,4.16444802339168,0.000611305236816406,4,2,512
95,4.06625136660907,1.9995664189916,3.88558415292344,4.2469185802947,0.000593900680541992,4,2,512
96,4.04030568904261,1.99200083585416,3.87126962378187,4.20934175430336,0.000600814819335938,4,2,512
97,3.97634116630133,2.09315504369384,3.79851980072745,4.15416253187521,0.000607728958129883,4,2,512
98,4.07554613544418,2.06476324876191,3.89212154409456,4.25897072679381,0.000590085983276367,4,2,512
99,3.89454075047454,1.95178418411621,3.72654451772293,4.06253698322614,0.0006103515625,4,2,512
100,3.85807324343923,1.92614615119771,3.68586703551009,4.03027945136837,0.000599384307861328,4,2,512
