"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,8.00226424601932,0.24485510920606,7.95592351360401,8.04860497843463,0.00394368171691895,8,0.25,128
2,8.02162837537233,0.245341493995876,7.97644017144921,8.06681657929545,0.0108997821807861,8,0.25,128
3,8.03222219996744,0.266276879776958,7.9800694267495,8.08437497318538,0.000710725784301758,8,0.25,128
4,8.03242724846922,0.269837614644838,7.98769703080205,8.0771574661364,0.000630855560302734,8,0.25,128
5,8.02443708380556,0.232446871849347,7.97732862313194,8.07154554447918,0.000613927841186523,8,0.25,128
6,7.97590034012153,0.247588267677378,7.92822493080268,8.02357574944038,0.000606536865234375,8,0.25,128
7,7.96232509064201,0.244543479861552,7.91434310943769,8.01030707184633,0.000605583190917969,8,0.25,128
8,8.04617540348042,0.261113537633857,7.99656609336752,8.09578471359331,0.000580549240112305,8,0.25,128
9,7.99749045900962,0.226262655431694,7.95473744331287,8.04024347470637,0.000614404678344727,8,0.25,128
10,8.02063680319669,0.259360748834375,7.9788023696558,8.06247123673758,0.000594139099121094,8,0.25,128
11,8.01848357500411,0.258792192615409,7.97840359078095,8.05856355922728,0.000585317611694336,8,0.25,128
12,7.9996276057005,0.283822196901804,7.95206128556704,8.04719392583395,0.00058746337890625,8,0.25,128
13,8.01291775338153,0.250691358975305,7.96882751163213,8.05700799513094,0.000582456588745117,8,0.25,128
14,8.00295841276668,0.251537531336345,7.95910180259181,8.04681502294154,0.000596761703491211,8,0.25,128
15,8.01892415828977,0.247204979863351,7.9758599612685,8.06198835531103,0.000606298446655273,8,0.25,128
16,8.01016080809215,0.250007183574799,7.96262915363984,8.05769246254445,0.000570774078369141,8,0.25,128
17,8.00268297595146,0.252803359502229,7.95389844764021,8.05146750426271,0.000585794448852539,8,0.25,128
18,8.03191010198414,0.242808721725508,7.99077112296502,8.07304908100326,0.000555515289306641,8,0.25,128
19,7.96717682370508,0.24506889129202,7.92313724800443,8.01121639940573,0.000569820404052734,8,0.25,128
20,7.98939414714758,0.227088326758868,7.95012267143457,8.0286656228606,0.000583410263061523,8,0.25,128
21,8.00501949186238,0.247047371811714,7.96190776665541,8.04813121706934,0.000586509704589844,8,0.25,128
22,7.98012794759715,0.264880072259624,7.93440796155472,8.02584793363959,0.000627994537353516,8,0.25,128
23,7.97703839987536,0.254969723702593,7.93118427191679,8.02289252783393,0.000593900680541992,8,0.25,128
24,8.01904118958545,0.223414631176415,7.9804462462838,8.0576361328871,0.000582695007324219,8,0.25,128
25,7.96817662139743,0.258512399262051,7.91651606361096,8.01983717918391,0.000590801239013672,8,0.25,128
26,7.97623699374034,0.261485254287139,7.92919603412591,8.02327795335476,0.000583171844482422,8,0.25,128
27,7.96341404019895,0.226961035484824,7.92702267895741,7.9998054014405,0.000585079193115234,8,0.25,128
28,8.04621730830539,0.252579301376462,8.00164040987047,8.09079420674032,0.000585556030273438,8,0.25,128
29,7.99253752755877,0.22599742198422,7.95361489817519,8.03146015694234,0.00057220458984375,8,0.25,128
30,7.98847097384106,0.254063727345686,7.94534226341874,8.03159968426338,0.00057530403137207,8,0.25,128
31,7.99761570456451,0.233395689819074,7.95582382960187,8.03940757952716,0.000578880310058594,8,0.25,128
32,8.00216398970742,0.234744143298113,7.95988712960365,8.0444408498112,0.000583887100219727,8,0.25,128
33,7.98257184537027,0.268462131708325,7.94397518344156,8.02116850729898,0.000570535659790039,8,0.25,128
34,8.00851939006915,0.268520486392539,7.95569364422865,8.06134513590965,0.000549793243408203,8,0.25,128
35,7.98188399649587,0.271865258983351,7.93315186564121,8.03061612735053,0.000581264495849609,8,0.25,128
36,7.99337000429566,0.221817469133591,7.9518909730569,8.03484903553443,0.000554323196411133,8,0.25,128
37,8.02789510979139,0.238566663606687,7.97944439629216,8.07634582329061,0.000561237335205078,8,0.25,128
38,7.97187360768276,0.261652223362755,7.92332602727102,8.02042118809449,0.000552892684936523,8,0.25,128
39,7.96689985314891,0.270072670857259,7.91992116685993,8.01387853943788,0.000558376312255859,8,0.25,128
40,8.04372624710847,0.254147299194864,8.00249013312591,8.08496236109102,0.0017702579498291,8,0.25,128
41,7.98182447353316,0.241012709311467,7.94085347006588,8.02279547700044,0.000637531280517578,8,0.25,128
42,7.96205068021737,0.249070162013466,7.91319955033917,8.01090181009556,0.000602483749389648,8,0.25,128
43,7.99481293785713,0.246350459448201,7.95340924657747,8.0362166291368,0.000593900680541992,8,0.25,128
44,8.01433396717505,0.239034226879262,7.97384564139043,8.05482229295967,0.000586509704589844,8,0.25,128
45,7.98021833444937,0.249440695680318,7.93256129792295,8.0278753709758,0.000591039657592773,8,0.25,128
46,7.9926815918201,0.24754587511659,7.948954712001,8.03640847163919,0.000586509704589844,8,0.25,128
47,7.99860951318725,0.266862570978382,7.94807520738749,8.04914381898701,0.000566959381103516,8,0.25,128
48,8.00775526104,0.262900443861687,7.96274759206753,8.05276293001247,0.000592708587646484,8,0.25,128
49,7.99756272895282,0.21466300195635,7.96222540455159,8.03290005335406,0.000569343566894531,8,0.25,128
50,7.99402034416509,0.208480557080306,7.95840585506833,8.02963483326185,0.000571250915527344,8,0.25,128
51,7.9904244235771,0.201877147440292,7.95447362590231,8.02637522125189,0.000562667846679688,8,0.25,128
52,7.99469804600146,0.241032617404133,7.94460023005889,8.04479586194403,0.000569820404052734,8,0.25,128
53,8.02333699718617,0.23769471436818,7.98272301083883,8.06395098353351,0.000595331192016602,8,0.25,128
54,8.07739801381032,0.256760206056505,8.02823519483787,8.12656083278277,0.000567436218261719,8,0.25,128
55,7.97230348411934,0.266513856890719,7.92354423640401,8.02106273183466,0.000584602355957031,8,0.25,128
56,8.00524052788639,0.259478519023013,7.95554708530376,8.05493397046902,0.000565290451049805,8,0.25,128
57,7.97988183049748,0.219133927563468,7.9412368339507,8.01852682704427,0.000560998916625977,8,0.25,128
58,8.00555423135439,0.253159446699549,7.95917288753779,8.05193557517098,0.000572919845581055,8,0.25,128
59,8.02489522329164,0.225564403597104,7.98693083756774,8.06285960901553,0.000570774078369141,8,0.25,128
60,8.00147085915359,0.2637096461293,7.95807786846861,8.04486384983857,0.000601053237915039,8,0.25,128
61,7.98629172459948,0.239480045843923,7.93995434816366,8.03262910103529,0.00057673454284668,8,0.25,128
62,8.01702497639188,0.254013061518023,7.97400254743685,8.06004740534691,0.000573873519897461,8,0.25,128
63,7.99063601517146,0.26681914013669,7.94680139760031,8.0344706327426,0.000575542449951172,8,0.25,128
64,7.94302813315871,0.235535033180815,7.90457422872731,7.9814820375901,0.00057530403137207,8,0.25,128
65,7.98589930890105,0.258796242532623,7.93707638701857,8.03472223078353,0.000581741333007812,8,0.25,128
66,7.98693774786508,0.219193219619573,7.94813418988116,8.02574130584899,0.00059819221496582,8,0.25,128
67,7.98076804597716,0.237495553076705,7.94297893126407,8.01855716069024,0.000577449798583984,8,0.25,128
68,8.00958847750572,0.26935914763371,7.96604697351708,8.05312998149437,0.000573396682739258,8,0.25,128
69,8.00189550141724,0.258843374722278,7.95299301274795,8.05079799008654,0.000568389892578125,8,0.25,128
70,8.00261754696433,0.260993544944322,7.95939103369288,8.04584406023578,0.000571489334106445,8,0.25,128
71,8.05046748125427,0.251119028715321,8.00735680527482,8.09357815723372,0.000562906265258789,8,0.25,128
72,7.99988304855214,0.26571036801299,7.95791604316467,8.0418500539396,0.000572443008422852,8,0.25,128
73,8.01619105645179,0.238507732258495,7.97287493580966,8.05950717709391,0.000595569610595703,8,0.25,128
74,8.00971135028925,0.250455046496737,7.96706400318436,8.05235869739414,0.000570774078369141,8,0.25,128
75,7.98947883172933,0.237971957182032,7.94880661081817,8.03015105264049,0.000567197799682617,8,0.25,128
76,7.97184866559739,0.269857729634571,7.92468765360752,8.01900967758726,0.00056767463684082,8,0.25,128
77,7.98644644170169,0.229640787499611,7.95087579620791,8.02201708719547,0.000571012496948242,8,0.25,128
78,7.99799223737756,0.272266174409768,7.9497448238633,8.04623965089181,0.0015876293182373,8,0.25,128
79,8.02829127983428,0.239969356037367,7.98959667286619,8.06698588680237,0.000595331192016602,8,0.25,128
80,7.99614109641407,0.270708560861717,7.94621641506664,8.0460657777615,0.00066375732421875,8,0.25,128
81,7.99427388965823,0.244465411825652,7.95135382647655,8.03719395283991,0.000592947006225586,8,0.25,128
82,7.97733260965381,0.244381635458589,7.93669702429868,8.01796819500894,0.000574827194213867,8,0.25,128
83,7.98915582983213,0.259034159285228,7.94172497992816,8.03658667973611,0.000585079193115234,8,0.25,128
84,8.00887841628647,0.242644252264851,7.96760256586132,8.05015426671161,0.000561952590942383,8,0.25,128
85,8.00900484828463,0.26849435411509,7.96266215505454,8.05534754151472,0.00058746337890625,8,0.25,128
86,7.97359518471863,0.261444055527559,7.92747913056886,8.0197112388684,0.000558376312255859,8,0.25,128
87,7.97942225697543,0.248775844158489,7.93947865304217,8.01936586090869,0.000566959381103516,8,0.25,128
88,7.98848213727511,0.248322095327862,7.9482217297988,8.02874254475142,0.000568151473999023,8,0.25,128
89,8.00534773431519,0.248037374817582,7.96280617184409,8.04788929678629,0.000558137893676758,8,0.25,128
90,7.96244897253325,0.255240281712127,7.9178957122126,8.0070022328539,0.000574111938476562,8,0.25,128
91,7.98062054704289,0.242886416693725,7.93819196637692,8.02304912770886,0.000578641891479492,8,0.25,128
92,7.997530805385,0.25242763768427,7.95487848435686,8.04018312641314,0.000571250915527344,8,0.25,128
93,7.99257852091396,0.253118805954773,7.94955072015029,8.03560632167764,0.000580549240112305,8,0.25,128
94,8.00256953900388,0.253789732426089,7.96108379017862,8.04405528782913,0.000553369522094727,8,0.25,128
95,7.93386517006306,0.273105694848195,7.88208884697103,7.98564149315509,0.000590085983276367,8,0.25,128
96,7.9850922550165,0.232830509411462,7.94375032869104,8.02643418134196,0.000573635101318359,8,0.25,128
97,8.02616832249822,0.253188157409949,7.97695235077887,8.07538429421757,0.000568389892578125,8,0.25,128
98,8.00875607488498,0.262633080612128,7.96287226177902,8.05463988799094,0.000624179840087891,8,0.25,128
99,8.006557509891,0.264891013586403,7.96047683436894,8.05263818541306,0.000576257705688477,8,0.25,128
100,8.00344633809988,0.251748465753917,7.96290547488757,8.04398720131218,0.000589847564697266,8,0.25,128
