"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,0.789013295709778,1.95100095966542,0.443909438647189,1.13411715277237,0.00440120697021484,1,2,128
2,0.730776504432762,2.05666162084704,0.379862564623611,1.08169044424191,0.0111684799194336,1,2,128
3,0.913913067431699,1.94298440980164,0.516379619586333,1.31144651527707,0.000697612762451172,1,2,128
4,0.897625593214025,1.97500579493593,0.547363156326929,1.24788803010112,0.000611305236816406,1,2,128
5,1.01077436848048,1.86538616885522,0.680308720395788,1.34124001656517,0.000604391098022461,1,2,128
6,0.785408322917627,1.8968846390195,0.448059241175851,1.1227574046594,0.00060725212097168,1,2,128
7,1.02545104682531,2.0575830993702,0.637090288606031,1.41381180504459,0.000592947006225586,1,2,128
8,1.07973192168286,1.83019599005328,0.722576188320124,1.4368876550456,0.000567436218261719,1,2,128
9,1.25289179194912,1.92884956928322,0.904342077302739,1.60144150659551,0.000576496124267578,1,2,128
10,1.0217157285941,2.14035711907567,0.670688330675328,1.37274312651287,0.000573873519897461,1,2,128
11,0.876991584755762,1.94269528990429,0.553431817120631,1.20055135239089,0.000586986541748047,1,2,128
12,0.962038520548887,1.99523077065563,0.586759773431775,1.337317267666,0.000587940216064453,1,2,128
13,0.932053514469341,1.9592753541272,0.597355909395036,1.26675111954365,0.000577449798583984,1,2,128
14,1.09691241602204,1.86506124524651,0.78542753543548,1.4083972966086,0.000583887100219727,1,2,128
15,1.14538910263983,1.98502349840338,0.781906831102886,1.50887137417677,0.000566482543945312,1,2,128
16,0.989482503377751,1.93711500576,0.620446342930296,1.35851866382521,0.000579357147216797,1,2,128
17,1.25065355477935,2.30676292287474,0.870169947965431,1.63113716159328,0.00059962272644043,1,2,128
18,0.867770390586226,2.02662904293055,0.506218223532461,1.22932255763999,0.000583410263061523,1,2,128
19,1.30553300238681,2.05460493803407,0.963453334200527,1.64761267057309,0.000581026077270508,1,2,128
20,1.26543233792612,2.0112045261188,0.921558530035571,1.60930614581667,0.000574111938476562,1,2,128
21,0.972285728482336,1.90084335999363,0.621051241302728,1.32352021566194,0.000599861145019531,1,2,128
22,1.39869749439183,2.02195367807834,1.07057534040717,1.7268196483765,0.000579357147216797,1,2,128
23,0.745616530169727,2.06258316151285,0.374407616598857,1.1168254437406,0.000577449798583984,1,2,128
24,0.749077871346852,1.96213235241601,0.365271596926562,1.13288414576714,0.00057220458984375,1,2,128
25,1.04775042106459,1.9255828860803,0.730492905397925,1.36500793673126,0.000573873519897461,1,2,128
26,1.12052714822101,1.93516147900215,0.735737172897227,1.50531712354479,0.000580549240112305,1,2,128
27,1.17553789306534,2.15680189936345,0.796646790248863,1.55442899588182,0.000591754913330078,1,2,128
28,1.20811703565101,1.99738181898487,0.849004483519192,1.56722958778284,0.000561714172363281,1,2,128
29,0.843017477607858,1.94747264393252,0.510803256437077,1.17523169877864,0.000564336776733398,1,2,128
30,0.92603251820996,1.94906197543015,0.598170886900207,1.25389414951971,0.00056147575378418,1,2,128
31,0.912533753218277,2.14517437455052,0.507675163907254,1.3173923425293,0.000574827194213867,1,2,128
32,1.09051406189692,2.253344256001,0.689244636195858,1.49178348759798,0.000577926635742188,1,2,128
33,0.640941343582472,1.97422613892227,0.255813391357515,1.02606929580743,0.000577449798583984,1,2,128
34,1.04664442576281,1.98546803179887,0.685833565467244,1.40745528605837,0.000564336776733398,1,2,128
35,0.841202892361454,1.98943381755076,0.506015075338773,1.17639070938414,0.00056910514831543,1,2,128
36,0.981191761405512,2.03155556016573,0.565066486868176,1.39731703594285,0.000590324401855469,1,2,128
