"iter_num","beta_hat","sigma_hat","beta_lcb","beta_ucb","runtime","beta_true","sigma_true","n"
1,3.53676642914707,2.01633976923164,3.16370445223523,3.9098284060589,0.00386404991149902,4,2,128
2,3.78461072875053,1.99685219578986,3.43822723567499,4.13099422182607,0.0111520290374756,4,2,128
3,3.68497113275581,2.17823280297731,3.25317612160576,4.11676614390587,0.000766277313232422,4,2,128
4,4.07489847940457,2.00490154607074,3.73112063614718,4.41867632266196,0.000638723373413086,4,2,128
5,3.7682828753542,1.97090986549757,3.42470232676941,4.11186342393899,0.000643014907836914,4,2,128
6,3.83438486166965,2.04502834338896,3.51313197180295,4.15563775153635,0.00062108039855957,4,2,128
7,4.13347748423201,2.10028591978159,3.78082167545434,4.48613329300967,0.000600814819335938,4,2,128
8,4.15193152373736,1.91227113001411,3.83277539992701,4.47108764754771,0.000588655471801758,4,2,128
9,4.18285814296932,1.91595909476985,3.84637437917395,4.51934190676469,0.000579357147216797,4,2,128
10,3.86574482086141,2.01248756927173,3.50782125357101,4.22366838815181,0.000593185424804688,4,2,128
11,4.01867811578253,2.02387627403515,3.6708223116925,4.36653391987256,0.000589609146118164,4,2,128
12,3.98821245167401,1.78407880777485,3.63404300298111,4.3423819003669,0.000578880310058594,4,2,128
13,4.22723869814046,1.85197364412239,3.93563410856809,4.51884328771283,0.000574111938476562,4,2,128
14,3.68286801371076,2.15671245146027,3.31451385895844,4.05122216846307,0.000584602355957031,4,2,128
15,4.07573818117659,2.11319363027879,3.66540788340616,4.48606847894702,0.000573396682739258,4,2,128
16,3.76872178715541,1.8501483694244,3.41207026982201,4.12537330448881,0.000615835189819336,4,2,128
17,4.0585784907136,2.01094807341786,3.69220937892914,4.42494760249807,0.000585317611694336,4,2,128
18,4.05560513986582,2.00110501244257,3.68775791408674,4.42345236564489,0.000584125518798828,4,2,128
19,3.95191775809779,1.9459957734828,3.59652923440702,4.30730628178855,0.00058293342590332,4,2,128
20,4.12522774286546,2.07069578881414,3.76222408248832,4.48823140324261,0.000581026077270508,4,2,128
21,4.05909303504808,2.02341068792603,3.69382754046606,4.4243585296301,0.0005950927734375,4,2,128
22,4.18663581383394,1.96335805149307,3.85868117560976,4.51459045205812,0.000583410263061523,4,2,128
23,3.85125692401784,1.95830419466908,3.5179904586625,4.18452338937319,0.000584602355957031,4,2,128
24,3.8410995157017,1.8088065570403,3.52951589422221,4.15268313718119,0.00057530403137207,4,2,128
25,3.91288842020109,1.91040285050583,3.57105003217711,4.25472680822507,0.000582218170166016,4,2,128
26,4.0838420916571,1.99297757984123,3.70645976585158,4.46122441746262,0.000592470169067383,4,2,128
27,4.12681548078873,2.11072786103605,3.73434887659594,4.51928208498151,0.000579118728637695,4,2,128
28,4.03439134815648,1.87283806108798,3.68367217075243,4.38511052556054,0.000585556030273438,4,2,128
29,3.99544445038014,1.72739412472763,3.6856427067175,4.30524619404277,0.000578641891479492,4,2,128
30,4.28366785063466,2.35621868209425,3.84266520118266,4.72467050008667,0.000560760498046875,4,2,128
31,4.09061376217189,1.83580398330807,3.705342491214,4.47588503312977,0.000570058822631836,4,2,128
32,4.06306450935227,2.12733009323036,3.69023781843406,4.43589120027049,0.000560760498046875,4,2,128
33,3.85997743150554,2.11361942877015,3.48053318417597,4.23942167883512,0.000568866729736328,4,2,128
34,4.13357684862619,2.1490767791659,3.79912108642436,4.46803261082802,0.000553131103515625,4,2,128
35,4.05244351208129,2.1397691300161,3.67875810729266,4.42612891686991,0.000559091567993164,4,2,128
36,4.11404854208422,1.97816046422898,3.78538844035353,4.4427086438149,0.000565767288208008,4,2,128
37,3.55461146812723,2.09894159424656,3.17933434664304,3.92988858961141,0.000554800033569336,4,2,128
38,4.00490402025863,2.21048565445982,3.63413177753976,4.3756762629775,0.0005645751953125,4,2,128
39,3.76490592706951,1.99345720404055,3.3525323987625,4.17727945537651,0.000547647476196289,4,2,128
40,3.86760262005493,1.89989750745936,3.55436062359694,4.18084461651293,0.00192451477050781,4,2,128
41,4.06073564898009,1.90051170207526,3.73623032315797,4.3852409748022,0.000644683837890625,4,2,128
42,4.24645969837612,2.13028498361191,3.88100848090226,4.61191091584997,0.000619173049926758,4,2,128
43,3.95723605442969,2.01667597799968,3.58967465180493,4.32479745705445,0.000581502914428711,4,2,128
44,4.05496288092826,2.02412848124502,3.70283442011798,4.40709134173853,0.000599384307861328,4,2,128
